slug,url,status,bytes,title,title_len,meta_desc,meta_desc_len,canonical,canonical_self,meta_robots,x_robots,html_lang,viewport,h1_count,h1,h2_count,h3_count,word_count,imgs_total,imgs_no_alt,imgs_empty_alt,imgs_lazy,imgs_srcset,imgs_webp,imgs_avif,internal_link_count,external_link_count,jsonld_blocks,schema_types,og_title,og_desc_len,og_image,og_type,tw_card,hreflang,favicon,theme_color,content_type,cache_control
home,https://annex27.nl/,200,97580,ISO 27001 Compliance voor het MKB | Gap-analyse &amp; Lead Auditor | Annex27,76,"Betaalbare ISO 27001 compliance voor het MKB in Nederland &amp; België. Gap-analyse vanaf €795, beleidspakket en persoonlijke review door gecertificeerde Lead Auditor. NIS2 en AVG standaard meegenomen.",201,https://annex27.nl/,yes,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",,nl,"width=device-width, initial-scale=1.0",1,"Uw weg naar ISO 27001,
      in weken. Niet in maanden.",7,1,1334,0,0,0,0,0,0,0,17,1,5,"Answer,BreadcrumbList,ContactPoint,Country,FAQPage,ImageObject,ListItem,Offer,OfferCatalog,Organization,ProfessionalService,Question,SearchAction,WebSite",ISO 27001 Compliance voor het MKB | Annex27,140,https://annex27.nl/og-image.svg,website,summary_large_image,"nl-NL,nl-BE,x-default",/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
gap-analyse,https://annex27.nl/gap-analyse,200,83108,Gratis ISO 27001 Quickscan voor MKB | Annex27,45,"Doe in 5 minuten een gratis ISO 27001 quickscan met directe compliance-score, sector-specifieke aanbevelingen en NIS2-indicatie. Geen registratie nodig.",152,https://annex27.nl/gap-analyse,yes,"index, follow, max-snippet:-1, max-image-preview:large",,nl,"width=device-width, initial-scale=1.0",1,Hoe compliant isuw organisatie?,2,2,244,0,0,0,0,0,0,0,4,0,2,"BreadcrumbList,Country,ListItem,Offer,Organization,Service",Gratis ISO 27001 Quickscan voor MKB | Annex27,110,https://annex27.nl/og-image.svg,website,summary_large_image,"nl-NL,nl-BE,x-default",/favicon.svg,#14b8a6,text/html,"no-store, no-cache, must-revalidate, max-age=0"
nis2,https://annex27.nl/nis2,200,35169,NIS2 voor het MKB — Compliance-checklist | Annex27,50,"Valt uw onderneming onder NIS2? Wat moet u doen voor de deadline? Praktische uitleg voor MKB in Nederland en België, met concrete acties en kosteninschatting.",158,https://annex27.nl/nis2,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,NIS2 voor het MKB. Wat moet u nu doen?,8,26,1016,0,0,0,0,0,0,0,12,2,1,"Answer,FAQPage,Question",NIS2 voor het MKB — Wat moet u nu doen? | Annex27,88,https://annex27.nl/og-image.svg,article,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
bestellen,https://annex27.nl/bestellen,200,37293,Bestellen — Annex27 | ISO 27001 pakketten voor het MKB,54,"Kies je Annex27 pakket: gap-analyse €795, NIS2 Readiness €995, beleidspakket €795 of pre-audit review vanaf €1.495. Direct starten, iDEAL/Bancontact.",149,https://annex27.nl/bestellen,yes,,,nl,"width=device-width, initial-scale=1.0",1,Kies uw pakket,0,1,188,0,0,0,0,0,0,0,5,0,0,,Bestellen — Annex27,91,https://annex27.nl/og-image.svg,website,,"nl-NL,nl-BE,x-default",/favicon.svg,#14b8a6,text/html,"no-store, no-cache, must-revalidate, max-age=0"
faq,https://annex27.nl/faq,200,42983,Veelgestelde vragen over ISO 27001 en NIS2 | Annex27,52,"Alle antwoorden over ISO 27001 gap-analyse, NIS2, beleidspakket, Lead Auditor review, security en pricing. Voor MKB in Nederland en België.",139,https://annex27.nl/faq,yes,"index, follow, max-snippet:-1, max-image-preview:large",,nl,"width=device-width, initial-scale=1.0",1,Veelgestelde vragen,1,6,1939,0,0,0,0,0,0,0,13,0,2,"Answer,BreadcrumbList,FAQPage,ListItem,Question",Veelgestelde vragen over ISO 27001 en NIS2 | Annex27,100,https://annex27.nl/og-image.svg,article,summary_large_image,"nl-NL,nl-BE,x-default",/favicon.svg,#14b8a6,text/html,"no-store, no-cache, must-revalidate, max-age=0"
blog-kosten,https://annex27.nl/blog/iso-27001-kosten-mkb,200,14796,Wat kost ISO 27001 voor het MKB? Volledige kostenbreakdown 2026 | Annex27,73,"Realistische ISO 27001-kosten voor MKB-bedrijven: voorbereiding (€2k-25k), audit (€4k-12k), surveillance (€2k-6k/jr). Wat bepaalt de prijs en hoe bespaart u ermee.",163,https://annex27.nl/blog/iso-27001-kosten-mkb,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,Wat kost ISO 27001 certificering voor een MKB-bedrijf?,6,5,791,0,0,0,0,0,0,0,8,0,1,"Article,ImageObject,Organization,Person",Wat kost ISO 27001 voor het MKB? Volledige kostenbreakdown,113,https://annex27.nl/og-image.svg,article,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
blog-vs-soc2,https://annex27.nl/blog/iso-27001-vs-soc-2,200,15128,ISO 27001 vs SOC 2: welke past bij een Nederlandse SaaS? | Annex27,66,"ISO 27001 of SOC 2? Vergelijking op scope, audit, kosten en klantverwachtingen. Concrete richtlijn voor Nederlandse en Belgische SaaS-bedrijven.",144,https://annex27.nl/blog/iso-27001-vs-soc-2,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,ISO 27001 vs SOC 2: welke past bij een Nederlandse SaaS?,8,5,914,0,0,0,0,0,0,0,7,0,1,"Article,Organization,Person",ISO 27001 vs SOC 2: welke past bij uw Nederlandse SaaS?,104,https://annex27.nl/og-image.svg,article,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
blog-nis2,https://annex27.nl/blog/nis2-deadline-2026,200,16680,NIS2-deadline 2026: wat moet u nu doen? | Annex27,49,"NIS2-handhaving rolt uit in NL en BE. Concrete actielijst voor MKB-bedrijven die onder NIS2 vallen, met deadlines per land en geschatte kosten.",143,https://annex27.nl/blog/nis2-deadline-2026,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,NIS2-deadline 2026: wat moet u nu doen?,6,6,773,0,0,0,0,0,0,0,8,1,1,"Article,Organization,Person",NIS2-deadline 2026: wat moet u nu doen?,103,https://annex27.nl/og-image.svg,article,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
blog-cyber,https://annex27.nl/blog/cyberverzekering-mkb-2026,200,21106,Cyberverzekering MKB 2026: waarom premies verdubbelen | Annex27,63,Cyberverzekeraars verhogen premies fors en eisen ISO 27001-niveau maatregelen. Wat verandert in 2026 en hoe blijft uw MKB verzekerbaar.,135,https://annex27.nl/blog/cyberverzekering-mkb-2026,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,Cyberverzekering 2026: waarom MKB-premies verdubbelen — en wat u eraan doet,6,8,1421,0,0,0,0,0,0,0,8,5,1,"Article,Organization,Person",Cyberverzekering MKB 2026: waarom premies verdubbelen,114,https://annex27.nl/og-image.svg,article,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
blog-supply,https://annex27.nl/blog/supply-chain-attacks-mkb,200,21789,"Supply chain attacks voor MKB: 5 lessen uit MOVEit, SolarWinds en XZ Utils | Annex27",84,"Waarom zelfs goed beveiligd MKB slachtoffer wordt van leverancierscompromissen, en hoe ISO 27001 A.5.19-23 dit deels afvangt. Met concrete cases en bronnen.",156,https://annex27.nl/blog/supply-chain-attacks-mkb,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,"Supply chain attacks voor MKB: 5 lessen uit MOVEit, SolarWinds en XZ Utils",4,9,1331,0,0,0,0,0,0,0,7,9,1,"Article,Organization,Person",Supply chain attacks voor MKB: 5 lessen uit de grote incidenten,108,https://annex27.nl/og-image.svg,article,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
rapport-voorbeeld,https://annex27.nl/rapport-voorbeeld,200,21884,Voorbeeldrapport gap-analyse | Annex27,38,"Bekijk een geanonimiseerd voorbeeld van een Annex27 gap-analyse rapport: structuur, scoring, bevindingen en aanbevolen acties.",126,https://annex27.nl/rapport-voorbeeld,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,Bekijk een echt Annex27 gap-analyse rapport,5,1,626,0,0,0,0,0,0,0,6,0,0,,,0,,,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
trust,https://annex27.nl/trust,200,30720,Trust &amp; Security | Hoe Annex27 uw gegevens beschermt,56,"Transparant overzicht: EU-only hosting, AES-256 encryptie, TLS 1.3, Row Level Security, signed URLs en automatische verwijdering. Technische en contractuele maatregelen.",169,https://annex27.nl/trust,yes,"index, follow, max-snippet:-1, max-image-preview:large",,nl,"width=device-width, initial-scale=1.0",1,Uw data is gevoelig. Zo behandelen wij hem.,6,1,823,0,0,0,0,0,0,0,6,0,1,"BreadcrumbList,ListItem",Trust &amp; Security | Annex27,106,https://annex27.nl/og-image.svg,article,summary_large_image,"nl-NL,nl-BE,x-default",/favicon.svg,#14b8a6,text/html,"no-store, no-cache, must-revalidate, max-age=0"
privacy,https://annex27.nl/privacy,200,16443,Privacybeleid | Annex27,23,"Hoe Annex27 uw persoonsgegevens verwerkt: doelen, rechtsgronden, bewaartermijnen, uw rechten onder de AVG en hoe u contact opneemt.",131,https://annex27.nl/privacy,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,Privacybeleid,11,1,743,0,0,0,0,0,0,0,6,3,0,,,0,,,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
algemene-voorwaarden,https://annex27.nl/algemene-voorwaarden,200,15717,Algemene Voorwaarden | Annex27,30,"Algemene voorwaarden van Annex27 (KBO 1006.203.170, BTW BE1006.203.170): toepasselijkheid, prijzen, levering, aansprakelijkheid, intellectuele eigendom, geheimhouding, geschillen.",179,https://annex27.nl/algemene-voorwaarden,yes,"index, follow",,nl,"width=device-width, initial-scale=1.0",1,Algemene voorwaarden,15,0,1129,0,0,0,0,0,0,0,8,1,0,,,0,,,,,/favicon.svg,#0D9488,text/html,"no-store, no-cache, must-revalidate, max-age=0"
